EXT ; OPC ; ASM             ; MEGA65 ; XEMU ; COMPARISON
$00 ; $E6 ; INC  $nn        ;   6 ;   4 ; MISMATCH
$03 ; $E6 ; INQ  $nn        ;  17 ;   8 ; MISMATCH
$00 ; $E7 ; SMB6 $nn        ;   6 ;   4 ; MISMATCH
$00 ; $E8 ; INX             ;   1 ;   1 ; OK
$00 ; $E9 ; SBC  #$nn       ;   2 ;   2 ; OK
$00 ; $EA ; NOP             ;   1 ;   1 ; OK
$00 ; $EB ; ROW  $nnnn      ;   9 ;   6 ; MISMATCH
$00 ; $EC ; CPX  $nnnn      ;   5 ;   4 ; MISMATCH
$00 ; $ED ; SBC  $nnnn      ;   5 ;   4 ; MISMATCH
$03 ; $ED ; SBCQ $nnnn      ;  12 ;  12 ; OK
$00 ; $EE ; INC  $nnnn      ;   7 ;   5 ; MISMATCH
$03 ; $EE ; INQ  $nnnn      ;  18 ;   9 ; MISMATCH
$00 ; $EF ; BBS6 $nn,$rr    ;   5 ;   4 ; MISMATCH
$01 ; $EF ; BBS6 $nn,$rr    ;   6 ;   5 ; MISMATCH
$00 ; $F0 ; BEQ  $rr        ;   2 ;   2 ; OK
$01 ; $F0 ; BEQ  $rr        ;   4 ;   3 ; MISMATCH
$00 ; $F1 ; SBC  ($nn),Y    ;   7 ;   5 ; MISMATCH
$00 ; $F2 ; SBC  ($nn),Z    ;   7 ;   5 ; MISMATCH
$02 ; $F2 ; SBC  [$nn],Z    ;  10 ;   9 ; MISMATCH
$03 ; $F2 ; SBCQ ($nn)      ;  14 ;  14 ; OK
$04 ; $F2 ; SBCQ [$nn]      ;  17 ;  17 ; OK
$00 ; $F3 ; LBEQ $rrrr      ;   4 ;   3 ; MISMATCH
$01 ; $F3 ; LBEQ $rrrr      ;   5 ;   4 ; MISMATCH
$00 ; $F4 ; PHW  #$nnnn     ;   6 ;   5 ; MISMATCH
$00 ; $F5 ; SBC  $nn,X      ;   4 ;   3 ; MISMATCH
$00 ; $F6 ; INC  $nn,X      ;   6 ;   4 ; MISMATCH
$03 ; $F6 ; INQ  $nn,X      ;  17 ;   8 ; MISMATCH
$00 ; $F7 ; SMB7 $nn        ;   6 ;   4 ; MISMATCH
$00 ; $F8 ; SED             ;   1 ;   1 ; OK
$00 ; $F9 ; SBC  $nnnn,Y    ;   5 ;   4 ; MISMATCH
$00 ; $FA ; PLX             ;   4 ;   3 ; MISMATCH
$00 ; $FB ; PLZ             ;   4 ;   3 ; MISMATCH
$00 ; $FC ; PHW  $nnnn      ;   9 ;   7 ; MISMATCH
$00 ; $FD ; SBC  $nnnn,X    ;   5 ;   4 ; MISMATCH
$00 ; $FE ; INC  $nnnn,X    ;   7 ;   5 ; MISMATCH
$03 ; $FE ; INQ  $nnnn,X    ;  18 ;   9 ; MISMATCH
$00 ; $FF ; BBS7 $nn,$rr    ;   5 ;   4 ; MISMATCH
$01 ; $FF ; BBS7 $nn,$rr    ;   6 ;   5 ; MISMATCH
